name;phone;email;company
В.И. Константинов;793239296;vikonstantinov@yandex.ru;Adobe Systems
Э.В. Горшковa;793169260;evgorshkova@yandex.com;Adobe Systems
Л.З. Селезнёв;794470897;lzseleznev@gmail.com;Adobe Systems
И.Т. Евсеев;793081655;itevseev@mail.com;Apple lnc
М.М. Дорофеевa;794057965;mmdorofeeva@gmail.ru;Walt Disney
В.М. Молчанов;794248357;vmmolchanov@yandex.ru;The Coca-Cola
Э.В. Роговa;794345636;evrogova@gmail.ru;MasterCard
Л.В. Федосеев;792248970;lvfedoseev@mail.com;Google
Е.В. Шаров;799550750;evsharov@yandex.com;Tesla Motors
И.А. Большаков;791242392;iabolshakov@yandex.ru;Walt Disney
П.А. Сухановa;799950090;pasukhanova@gmail.com;Apple lnc
Р.А. Елисеев;797949657;raeliseev@gmail.com;Adidas
В.Д. Михайлов;799683491;vdmikhailov@yandex.ru;Apple lnc
Е.Ю. Шиловa;798760645;eyshilova@gmail.com;American Express
Я.С. Беспалов;790241748;yasbespalov@mail.com;Caterpillar
С.И. Щукин;794083666;sishchukin@mail.com;MasterCard
К.Е. Кудряшовa;796836133;kekudryashova@mail.com;Intel Corp
Л.В. Федосеев;793621283;lvfedoseev@yandex.ru;Intel Corp
К.А. Пестовa;792611088;kapestova@mail.com;Google
А.А. Петуховa;749891598;aapetukhova@mail.com;Ferrari
А.И. Зиновьев;798560651;aizinoviev@mail.ru;MasterCard
М.Х. Харитонов;790864896;mhkharitonov@yandex.com;Walt Disney
А.Р. Крыловa;798053099;arkrylova@gmail.ru;Activision Blizzard
С.Ю. Калашников;794780952;sykalashnikov@yandex.ru;The Coca-Cola
Г.А. Рожков;798297481;garozhkov@yandex.com;BMW
Я.Д. Прохоровa;795696496;yadprokhorova@gmail.ru;Airbus
Г.Э. Елисеевa;749921399;geeliseeva@mail.ru;Intel Corp
А.Ю. Гришинa;798573576;aygrishina@mail.ru;Johnson&Hohnson
С.О. Уваров;795339068;souvarov@yandex.com;Johnson&Hohnson
А.Д. Фомичёв;799366837;adfomichev@gmail.com;American Express
А.Я. Ершовa;792258391;ayaershova@gmail.ru;American Express
В.Я. Федотов;794587665;vyafedotov@gmail.com;Walt Disney
А.С. Герасимовa;797930547;asgerasimova@mail.ru;Adidas
Э.Ф. Корнилов;795131350;efkornilov@gmail.ru;MasterCard
Е.Д. Лебедев;797022850;edlebedev@gmail.com;Activision Blizzard
А.Е. Бирюковa;749968881;aebiryukova@mail.ru;Walt Disney
С.Е. Большаков;796786941;sebolshakov@mail.com;The Coca-Cola
Г.И. Маслов;796939550;gimaslov@yandex.ru;Apple lnc
Б.М. Виноградовa;794534479;bmvinogradova@mail.com;Tesla Motors
Д.Ф. Зуев;799449532;dfzuev@gmail.ru;Adidas
Д.Ф. Борисов;795428579;dfborisov@mail.ru;Activision Blizzard
С.Д. Кузьминa;795211219;sdkuzmina@yandex.com;American Express
А.Е. Жуков;790984463;aezhukov@mail.com;Lenovo Group
А.Е. Соболевa;795652489;aesoboleva@yandex.ru;Lenovo Group
К.Ф. Павловa;790932449;kfpavlova@gmail.ru;Lenovo Group
К.Х. Большаков;792314444;khbolshakov@gmail.com;BMW
Я.Г. Калинин;799574846;yagkalinin@gmail.com;Intel Corp
М.А. Тарасов;793825383;matarasov@yandex.ru;American Express
С.Е. Горшков;799439373;segorshkov@mail.ru;Intel Corp
А.Г. Фомичёв;799965866;agfomichev@yandex.com;Airbus
Д.Ф. Антоновa;749683256;dfantonova@gmail.com;Ferrari
А.А. Васильев;794618143;aavasiliev@yandex.com;Activision Blizzard
А.Г. Фоминa;794783068;agfomina@gmail.ru;The Coca-Cola
Д.М. Пономарёв;798161214;dmponomarev@yandex.ru;Apple lnc
