id инвестора;name;phone;email
83;А.С. Герасимовa;797930547;asgerasimova@mail.ru
84;Э.Ф. Корнилов;795131350;efkornilov@gmail.ru
85;Е.Д. Лебедев;797022850;edlebedev@gmail.com
86;А.Е. Бирюковa;749968881;aebiryukova@mail.ru
87;С.Е. Большаков;796786941;sebolshakov@mail.com
88;Г.И. Маслов;796939550;gimaslov@yandex.ru
89;Б.М. Виноградовa;794534479;bmvinogradova@mail.com
90;Д.Ф. Зуев;799449532;dfzuev@gmail.ru
91;Д.Ф. Борисов;795428579;dfborisov@mail.ru
92;С.Д. Кузьминa;795211219;sdkuzmina@yandex.com
93;А.Е. Жуков;790984463;aezhukov@mail.com
94;А.Е. Соболевa;795652489;aesoboleva@yandex.ru
95;К.Ф. Павловa;790932449;kfpavlova@gmail.ru
96;К.Х. Большаков;792314444;khbolshakov@gmail.com
97;Я.Г. Калинин;799574846;yagkalinin@gmail.com
98;М.А. Тарасов;793825383;matarasov@yandex.ru
99;С.Е. Горшков;799439373;segorshkov@mail.ru
100;А.Г. Фомичёв;799965866;agfomichev@yandex.com
101;Д.Ф. Антоновa;749683256;dfantonova@gmail.com
102;А.А. Васильев;794618143;aavasiliev@yandex.com
103;А.Г. Фоминa;794783068;agfomina@gmail.ru
104;Д.М. Пономарёв;798161214;dmponomarev@yandex.ru
